SYMBOL,DATE,TIME,PRICE,SIZE,G127,CORR,COND,EX
BAC,20110701,4:00:33,10.9,600,0,0,T,P
BAC,20110701,4:00:33,10.9,2400,0,0,F,P
BAC,20110701,4:27:52,11,175,0,0,F,P
BAC,20110701,4:28:17,11,100,0,0,F,P
BAC,20110701,4:34:32,10.99,100,0,0,F,P
BAC,20110701,4:54:27,10.99,200,0,0,F,P
BAC,20110701,4:58:02,10.99,100,0,0,F,P
BAC,20110701,6:05:01,10.99,100,0,0,F,P
BAC,20110701,6:43:36,10.99,100,0,0,F,P
BAC,20110701,6:43:36,11,100,0,0,F,P
BAC,20110701,7:01:38,10.99,300,0,0,T,P
BAC,20110701,7:01:39,11,200,0,0,T,P
BAC,20110701,7:01:39,11,300,0,0,T,P
BAC,20110701,7:01:39,11,300,0,0,T,P
BAC,20110701,7:01:39,11,100,0,0,T,P
BAC,20110701,7:01:39,11,500,0,0,T,P
BAC,20110701,7:01:39,11,400,0,0,T,P
BAC,20110701,7:03:44,10.99,206,0,0,T,P
BAC,20110701,7:06:54,10.99,550,0,0,T,P
BAC,20110701,7:07:17,11,600,0,0,T,T
BAC,20110701,7:07:17,11.01,100,0,0,T,T
BAC,20110701,7:07:17,11.01,500,0,0,T,T
BAC,20110701,7:07:17,11.02,100,0,0,T,T
BAC,20110701,7:07:17,11.02,200,0,0,T,T
BAC,20110701,7:07:17,11.99,8500,0,0,T,T
BAC,20110701,7:07:17,10.99,744,0,0,T,P
BAC,20110701,7:08:04,11,300,0,0,T,P
BAC,20110701,7:08:04,11,900,0,0,T,P
BAC,20110701,7:08:04,11,300,0,0,F,T
BAC,20110701,7:08:06,11.01,300,0,0,T,P
BAC,20110701,7:08:06,11.01,300,0,0,T,P
BAC,20110701,7:08:06,11.01,600,0,0,F,T
BAC,20110701,7:08:10,11.03,100,0,0,T,P
BAC,20110701,7:08:10,11.03,200,0,0,T,P
BAC,20110701,7:08:12,11.05,300,0,0,T,P
BAC,20110701,7:08:12,11.05,100,0,0,T,P
BAC,20110701,7:08:12,11.05,200,0,0,T,P
BAC,20110701,7:08:12,11.05,100,0,0,T,P
BAC,20110701,7:08:14,11.05,100,0,0,T,P
BAC,20110701,7:08:14,11.05,200,0,0,T,P
BAC,20110701,7:08:15,11.06,500,0,0,T,P
BAC,20110701,7:08:15,11.06,100,0,0,T,P
BAC,20110701,7:08:15,11.06,3156,0,0,T,P
BAC,20110701,7:08:16,11.05,744,0,0,T,P
BAC,20110701,7:09:27,11.01,300,0,0,T,T
BAC,20110701,7:10:27,11,300,0,0,F,T
BAC,20110701,7:10:27,11,300,0,0,F,T
BAC,20110701,7:10:27,11,400,0,0,F,T
BAC,20110701,7:10:49,11.01,2500,0,0,T,P
BAC,20110701,7:10:49,11.01,200,0,0,T,T
BAC,20110701,7:11:52,11.01,100,0,0,F,P
BAC,20110701,7:15:40,11.01,400,0,0,T,P
BAC,20110701,7:15:40,11.01,300,0,0,T,T
BAC,20110701,7:15:40,11.01,300,0,0,T,T
BAC,20110701,7:16:11,11.02,100,0,0,F,T
BAC,20110701,7:20:58,11.01,100,0,0,F,T
BAC,20110701,7:20:58,11.01,7000,0,0,F,P
BAC,20110701,7:21:02,11,300,0,0,F,T
BAC,20110701,7:21:02,11,1000,0,0,F,T
BAC,20110701,7:21:02,11,300,0,0,F,P
BAC,20110701,7:21:02,11,900,0,0,F,P
BAC,20110701,7:25:44,11,300,0,0,T,P
BAC,20110701,7:26:36,11,100,0,0,T,P
BAC,20110701,7:26:36,11,300,0,0,T,P
BAC,20110701,7:26:36,11,300,0,0,T,T
BAC,20110701,7:26:41,11,300,0,0,F,T
BAC,20110701,7:26:58,11,100,0,0,F,T
BAC,20110701,7:29:01,10.99,300,0,0,T,P
BAC,20110701,7:29:01,10.99,700,0,0,T,P
BAC,20110701,7:31:00,10.99,300,0,0,T,P
BAC,20110701,7:33:44,10.99,300,0,0,F,T
BAC,20110701,7:34:10,11,200,0,0,F,T
BAC,20110701,7:34:33,11,100,0,0,F,T
BAC,20110701,7:34:33,11,100,0,0,F,T
BAC,20110701,7:35:11,11,200,0,0,F,T
BAC,20110701,7:42:48,11,100,0,0,F,T
BAC,20110701,7:43:02,10.99,100,0,0,F,T
BAC,20110701,7:44:37,11,100,0,0,T,P
BAC,20110701,7:44:37,11,100,0,0,T,P
BAC,20110701,7:44:37,11,300,0,0,T,P
BAC,20110701,7:44:37,11,200,0,0,T,P
BAC,20110701,7:44:37,11,100,0,0,T,P
BAC,20110701,7:44:37,11,1200,0,0,T,P
BAC,20110701,7:44:37,11,500,0,0,T,T
BAC,20110701,7:44:37,11,300,0,0,T,T
BAC,20110701,7:44:37,11,200,0,0,T,P
BAC,20110701,7:44:37,11,100,0,0,T,P
BAC,20110701,7:44:37,11,600,0,0,T,P
BAC,20110701,7:44:37,11,300,0,0,T,P
BAC,20110701,7:45:18,11,300,0,0,F,T
BAC,20110701,7:48:13,10.99,200,0,0,T,P
BAC,20110701,7:48:13,10.99,300,0,0,T,P
BAC,20110701,7:48:13,10.99,100,0,0,T,P
BAC,20110701,7:48:13,10.99,300,0,0,T,T
BAC,20110701,7:48:13,10.99,100,0,0,T,T
BAC,20110701,7:55:06,11,100,0,0,T,P
BAC,20110701,7:55:06,11,250,0,0,T,P
BAC,20110701,7:57:46,10.99,300,0,0,T,P
BAC,20110701,7:57:46,10.99,300,0,0,T,T
